CÓDIGO EUROPEO,LEI,NOMBRE,CATEGORÍA,DIRECCIÓN,INFORME,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES3159,95980020140005480677,"Caixa Popular-Caixa Rural, S. Coop. de Crédito V.",Entidad de crédito,"AV JUAN DE LA CIERVA, 9, 46980, PATERNA",Sí,,"3159"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES3045,635400AAPLXTJGKCMB39,"Caixa Rural Altea, Cooperativa de Crédito Valenciana",Entidad de crédito,"PLACETA DEL CONVENT, 2, 03590, ALTEA",No,,"3045"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES3162,95980020140005418791,"Caixa Rural Benicarló, S. Coop. de Credit V.",Entidad de crédito,"AV JOAN CARLES I, 18, 12580, BENICARLO",No,,"3162"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES3117,95980020140005620357,"Caixa Rural D'Algemesí, S. Coop. V. de Crédit",Entidad de crédito,"CL SAN JOSÉ DE CALASANZ, 6, 46680, ALGEMESI",No,,"3117"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES3105,635400Q3SPCPIHXXGR35,"Caixa Rural de Callosa d'en Sarrià, Cooperativa de Crédito Valenciana",Entidad de crédito,"AV JAIME I, 1, 03510, CALLOSA D'EN SARRIA",No,,"3105"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES3096,95980020140005551293,"Caixa Rural de L'Alcudia, Sociedad Cooperativa Valenciana de  Crédito",Entidad de crédito,"AV VERGE DE L'ORETO 2, 46250, L' ALCUDIA",No,,"3096"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES3123,6354007ZW5CLO6YHGK36,"Caixa Rural de Turís, Cooperativa de Crédito Valenciana",Entidad de crédito,"PZ CONSTITUCIÓN, 2, 46389, TURIS",No,,"3123"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES3070,95980020140005488437,"Caixa Rural Galega, Sociedad Cooperativa de Crédito Limitada Gallega",Entidad de crédito,"Av de Montero Ríos, 24-26, 27002, Lugo",Sí,,"3070"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES3111,95980020140005651785,"Caixa Rural La Vall 'San Isidro', Sociedad Cooperativa de Crédito Valenciana",Entidad de crédito,"AV CORAZÓN DE JESÚS, 3, 12600, LA VALL D'UIXO",No,,"3111"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES3166,95980020140005621036,"Caixa Rural Les Coves de Vinromá, S. Coop. de Crédit V.",Entidad de crédito,"CL SAN ANTONIO, 27, 12185, LES COVES DE VINROMA",No,,"3166"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES3160,635400J15IRJJXMI6M28,"Caixa Rural Sant Josep de Vilavella, S. Coop. de Crédito V.",Entidad de crédito,"CL CUEVA SANTA, 11, 12526, VILABELLA",No,,"3160"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES3102,635400NY7IQMBTTK4D30,"Caixa Rural Sant Vicent Ferrer de La Vall D'Uixó, Coop. de Credit V.",Entidad de crédito,"PZ DEL CENTRO, 4, 12600, LA VALL D'UIXO",No,,"3102"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES3118,635400FTUWGNM6CHRI73,"Caixa Rural Torrent Cooperativa de Credit Valenciana",Entidad de crédito,"AV AL VEDAT, 3, 46900, TORRENT",No,,"3118"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES3174,95980020140005382222,"Caixa Rural Vinarós, S. Coop. de Credit. V.",Entidad de crédito,"CL SAN CRISTÓBAL, 19, 12500, VINAROS",No,,"3174"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESV63050835,95980020140005299675,"CAIXABANK MONETARIO RENDIMIENTO, FI",Fondo del mercado monetario,"PASEO CASTELLANA, 189, 28046, MADRID",Sí,,"FI2680"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES8776,959800VZJT69ALGPYF88,"Caixabank Payments & Consumer, E.F.C., E.P., S.A.",Otra institución,"Cl Caleruega, 102, 28033, Madrid",Sí,,"8776"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES2100,7CUNS533WID6K7DGFI87,"Caixabank, S.A.",Entidad de crédito,"Cl Pintor Sorolla 2-4, 46002, Valencia",Sí,,"2100"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES2045,95980020140005436542,"Caja de Ahorros y Monte de Piedad de Ontinyent",Entidad de crédito,"PZ SANTO DOMINGO, 24, 46870, ONTINYENT",No,,"2045"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES3029,635400AOYRRGOJUGAX32,"Caja de Crédito de Petrel, Caja Rural, Cooperativa de Crédito Valenciana",Entidad de crédito,"CL SAN BARTOLOMÉ,2, 03610, PETRER",No,,"3029"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES3035,549300G3C8M0WXQCWH61,"Caja Laboral Popular Coop. de Crédito",Entidad de crédito,"PS JOSE MARÍA ARIZMENDIARRIETA SN, 20500, ARRASATE/MONDRAGON",Sí,,"3035"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES3115,959800STU2BCZ8XZG570,"Caja Rural 'Nuestra Madre del Sol', S. Coop. Andaluza de Crédito",Entidad de crédito,"CL ALTO GUADALQUIVIR, 4, 14430, ADAMUZ",No,,"3115"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES3110,635400T8P82JKHPUBD58,"Caja Rural Católico Agraria, S. Coop. de Crédito V.",Entidad de crédito,"PZ MAYOR, 10, 12540, VILA-REAL",No,,"3110"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES3005,95980020140005487079,"Caja Rural Central, Sociedad Cooperativa de Crédito",Entidad de crédito,"CL JOSÉ MARÍA SARGET 29, 03300, ORIHUELA",Sí,,"3005"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES3190,95980020140005484654,"Caja Rural de Albacete, Ciudad Real y Cuenca, Sociedad Cooperativa de Crédito",Entidad de crédito,"Cl Tesifonte Gallego, 18, 02002, Albacete",Sí,,"3190"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES3150,95980020140005350406,"Caja Rural de Albal, Coop. de Crédito V.",Entidad de crédito,"PZ DEL JARDÍ, 24, 46470, ALBAL",No,,"3150"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES3179,635400AQCMGMEAGQB886,"Caja Rural de Alginet, Sociedad Cooperativa Crédito Valenciana",Entidad de crédito,"CL VALENCIA 13, 46230, ALGINET",No,,"3179"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES3001,95980020140005937353,"Caja Rural de Almendralejo, Sociedad Cooperativa de Crédito",Entidad de crédito,"PZ DE SAN ANTONIO, SN, 06200, ALMENDRALEJO",Sí,,"3001"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES3191,95980020140005012943,"Caja Rural de Aragón, Sociedad Cooperativa de Crédito",Entidad de crédito,"CI Coso 29, 50003, Zaragoza",Sí,,"3191"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES3059,95980020140005219553,"Caja Rural de Asturias, Sociedad Cooperativa de Crédito",Entidad de crédito,"Cl Melquiades Álvarez,7, 33002, Oviedo",Sí,,"3059"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES3089,95980020140005396869,"Caja Rural de Baena Ntra. Sra. de Guadalupe Sociedad Cooperativa de Crédito Andaluza",Entidad de crédito,"CL  DUQUE DE RIVAS, 3, 14850, BAENA",No,,"3089"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES3060,95980020140005485624,"Caja Rural de Burgos, Fuentepelayo, Segovia y Castelldans, Sociedad Cooperativa de Crédito",Entidad de crédito,"Cl. LosCoches, 2-4, 40002, Segovia",Sí,,"3060"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES3104,95980050FR4XC5F5QU23,"Caja Rural de Cañete de Las Torres Ntra. Sra. del Campo Sociedad Cooperativa Andaluza de Crédito",Entidad de crédito,"PZA DE ESPAÑA, 5, 14660, CAÑETE DE LAS TORRES",No,,"3104"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES3127,95980020140005993904,"Caja Rural de Casas Ibáñez, S. Coop. de Crédito de Castilla-La Mancha",Entidad de crédito,"CL TERCIA, 49, 02200, CASAS-IBAÑEZ",No,,"3127"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES3121,635400OVO6HWLUD2YY08,"Caja Rural de Cheste, Sociedad Cooperativa de Crédito Valenciana",Entidad de crédito,"PZ DR. CAJAL, 2, 46380, CHESTE",No,,"3121"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES3009,95980020140005212375,"Caja Rural de Extremadura, Sociedad Cooperativa de Crédito",Entidad de crédito,"Av de Santa Marina 15, 06005, Badajoz",Sí,,"3009"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES3007,95980020140005480580,"Caja Rural de Gijón, Sociedad Cooperativa Asturiana de Crédito",Entidad de crédito,"PS DE LA INFANCIA, 10, 33207, GIJON",No,,"3007"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES3023,95980020140005220135,"Caja Rural de Granada, Sociedad Cooperativa de Crédito",Entidad de crédito,"Av Don Bosco, 2, 18006, Granada",Sí,,"3023"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES3140,95980020140005925519,"Caja Rural de Guissona, Sociedad Cooperativa de Crédito",Entidad de crédito,"CL TRASPALAU, 8, 25210, GUISSONA",No,,"3140"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES3067,95980020140005418403,"Caja Rural de Jaén, Barcelona y Madrid, Sociedad Cooperativa de Crédito",Entidad de crédito,"CL EL CONDADO, 23, 23620, MENGIBAR",Sí,,"3067"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES3008,95980020140005439549,"Caja Rural de Navarra, S. Coop. de Crédito",Entidad de crédito,"PZ DE LOS FUEROS, 1, 31003, PAMPLONA/IRUÑA",Sí,,"3008"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES3098,95980020140005992740,"Caja Rural de Nueva Carteya,  Sociedad Cooperativa Andaluza de Crédito",Entidad de crédito,"AV ANDALUCÍA, 6, 14857, NUEVA CARTEYA",No,,"3098"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES3016,95980020140005429655,"Caja Rural de Salamanca, Sociedad Cooperativa de Crédito",Entidad de crédito,"Puerta de Zamora, 2, 37005, Salamanca",No,,"3016"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES3017,95980020140005396966,"Caja Rural de Soria, Sociedad Cooperativa de Crédito",Entidad de crédito,"Cl Diputación,1, 42003, Soria",Sí,,"3017"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES3080,95980020140005417336,"Caja Rural de Teruel, Sociedad Cooperativa de Crédito",Entidad de crédito,"Pz Carlos Castel, 14, 44001, Teruel",Sí,,"3080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES3020,95980020140005219941,"Caja Rural de Utrera, Sociedad Cooperativa Andaluza de Crédito",Entidad de crédito,"PZ DEL ALTOZANO, 22, 41710, UTRERA",No,,"3020"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
